Time, DR, DN, RN, Euclidian
1810.000, 1.572, 0.901, 1.292, 2.225
1820.000, 1.553, 0.886, 1.273, 2.194
1830.000, 1.567, 0.889, 1.278, 2.208
1840.000, 1.608, 0.893, 1.328, 2.268
1850.000, 1.584, 0.92, 1.337, 2.267
1860.000, 1.553, 0.865, 1.289, 2.195
1870.000, 1.583, 0.891, 1.318, 2.244
1880.000, 1.565, 0.889, 1.283, 2.210
1890.000, 1.545, 0.89, 1.274, 2.191
1900.000, 1.564, 0.908, 1.295, 2.224
1910.000, 1.598, 0.897, 1.279, 2.234
1920.000, 1.577, 0.828, 1.302, 2.206
1930.000, 1.591, 0.918, 1.308, 2.254
1940.000, 1.63, 0.887, 1.309, 2.270
1950.000, 1.579, 0.883, 1.319, 2.238
1960.000, 1.581, 0.907, 1.281, 2.227
1970.000, 1.587, 0.888, 1.296, 2.233
1980.000, 1.603, 0.918, 1.256, 2.233
1990.000, 1.645, 0.859, 1.318, 2.276
2000.000, 1.645, 0.898, 1.314, 2.288
2010.000, 1.614, 0.911, 1.308, 2.268
2020.000, 1.597, 0.935, 1.273, 2.246
2030.000, 1.601, 0.929, 1.301, 2.262
2040.000, 1.586, 0.896, 1.327, 2.253
2050.000, 1.537, 0.899, 1.297, 2.202
2060.000, 1.525, 0.887, 1.274, 2.176
2070.000, 1.581, 0.887, 1.305, 2.233
2080.000, 1.522, 0.927, 1.249, 2.176
2090.000, 1.541, 0.87, 1.388, 2.249
2100.000, 1.537, 0.854, 1.284, 2.177
2110.000, 1.55, 0.849, 1.274, 2.178
2120.000, 1.598, 0.87, 1.325, 2.250
2130.000, 1.54, 0.9, 1.275, 2.192
2140.000, 1.576, 0.86, 1.287, 2.209
2150.000, 1.543, 0.925, 1.258, 2.195
2160.000, 1.561, 0.871, 1.269, 2.192
2170.000, 1.564, 0.89, 1.289, 2.213
2180.000, 1.596, 0.863, 1.341, 2.256
2190.000, 1.573, 0.873, 1.287, 2.211
2200.000, 1.576, 0.905, 1.25, 2.205
2210.000, 1.514, 0.9, 1.257, 2.163
2220.000, 1.53, 0.882, 1.289, 2.186
2230.000, 1.541, 0.896, 1.275, 2.191
2240.000, 1.559, 0.884, 1.278, 2.201
2250.000, 1.526, 0.878, 1.274, 2.173
2260.000, 1.573, 0.861, 1.292, 2.210
2270.000, 1.606, 0.872, 1.298, 2.241
2280.000, 1.617, 0.885, 1.308, 2.260
2290.000, 1.58, 0.881, 1.305, 2.230
2300.000, 1.591, 0.876, 1.32, 2.245
2310.000, 1.593, 0.871, 1.354, 2.264
2320.000, 1.556, 0.874, 1.282, 2.197
2330.000, 1.587, 0.909, 1.27, 2.226
2340.000, 1.602, 0.899, 1.286, 2.242
2350.000, 1.597, 0.892, 1.338, 2.266
2360.000, 1.567, 0.894, 1.294, 2.220
2370.000, 1.576, 0.86, 1.324, 2.230
2380.000, 1.549, 0.927, 1.29, 2.218
2390.000, 1.557, 0.86, 1.299, 2.202
2400.000, 1.589, 0.921, 1.277, 2.236
2410.000, 1.545, 0.876, 1.244, 2.168
2420.000, 1.539, 0.891, 1.29, 2.196
2430.000, 1.568, 0.884, 1.317, 2.230
2440.000, 1.549, 0.889, 1.307, 2.213
2450.000, 1.517, 0.896, 1.25, 2.160
2460.000, 1.578, 0.885, 1.312, 2.234
2470.000, 1.589, 0.896, 1.306, 2.243
2480.000, 1.578, 0.898, 1.291, 2.227
2490.000, 1.549, 0.896, 1.293, 2.207
2500.000, 1.555, 0.909, 1.279, 2.209
2510.000, 1.592, 0.886, 1.304, 2.240
2520.000, 1.557, 0.881, 1.292, 2.206
2530.000, 1.537, 0.868, 1.276, 2.178
2540.000, 1.599, 0.93, 1.28, 2.249
2550.000, 1.599, 0.924, 1.294, 2.254
2560.000, 1.544, 0.923, 1.297, 2.217
2570.000, 1.589, 0.916, 1.306, 2.251
2580.000, 1.581, 0.896, 1.266, 2.214
2590.000, 1.551, 0.903, 1.256, 2.190
2600.000, 1.587, 0.922, 1.268, 2.230
2610.000, 1.601, 0.917, 1.262, 2.235
2620.000, 1.541, 0.902, 1.278, 2.195
2630.000, 1.578, 0.903, 1.287, 2.227
2640.000, 1.594, 0.876, 1.319, 2.246
2650.000, 1.592, 0.881, 1.271, 2.219
2660.000, 1.57, 0.889, 1.31, 2.229
2670.000, 1.572, 0.888, 1.252, 2.197
2680.000, 1.628, 0.926, 1.276, 2.266
2690.000, 1.601, 0.925, 1.319, 2.271
2700.000, 1.621, 0.899, 1.289, 2.257
2710.000, 1.566, 0.906, 1.282, 2.217
2720.000, 1.557, 0.884, 1.295, 2.209
2730.000, 1.547, 0.909, 1.242, 2.182
