Time, DR, DN, RN, Euclidian
3.020, 1.434, 0.874, 1.254, 2.095
3.030, 1.433, 0.836, 1.252, 2.078
3.040, 1.444, 0.853, 1.28, 2.109
3.050, 1.493, 0.82, 1.271, 2.125
3.060, 1.479, 0.873, 1.251, 2.124
3.070, 1.42, 0.903, 1.213, 2.074
3.080, 1.441, 0.874, 1.229, 2.085
3.090, 1.528, 0.888, 1.304, 2.196
3.100, 1.469, 0.852, 1.222, 2.092
3.110, 1.475, 0.857, 1.278, 2.131
3.120, 1.47, 0.859, 1.246, 2.109
3.130, 1.434, 0.892, 1.255, 2.104
3.140, 1.502, 0.873, 1.27, 2.151
3.150, 1.49, 0.897, 1.285, 2.162
3.160, 1.484, 0.843, 1.3, 2.145
3.170, 1.503, 0.865, 1.298, 2.166
3.180, 1.465, 0.884, 1.232, 2.108
3.190, 1.454, 0.901, 1.259, 2.123
3.200, 1.47, 0.904, 1.295, 2.157
3.210, 1.489, 0.88, 1.247, 2.132
3.220, 1.459, 0.898, 1.251, 2.121
3.230, 1.41, 0.836, 1.211, 2.038
3.240, 1.432, 0.886, 1.255, 2.100
3.250, 1.476, 0.872, 1.321, 2.164
3.260, 1.422, 0.868, 1.288, 2.105
3.270, 1.385, 0.838, 1.203, 2.016
3.280, 1.379, 0.851, 1.221, 2.028
3.290, 1.445, 0.868, 1.3, 2.128
3.300, 1.421, 0.845, 1.268, 2.083
3.310, 1.392, 0.855, 1.259, 2.062
3.320, 1.413, 0.873, 1.26, 2.084
3.330, 1.444, 0.867, 1.268, 2.108
3.340, 1.486, 0.893, 1.281, 2.155
3.350, 1.443, 0.85, 1.251, 2.090
3.360, 1.455, 0.841, 1.282, 2.113
3.370, 1.436, 0.892, 1.216, 2.082
3.380, 1.397, 0.878, 1.217, 2.050
3.390, 1.356, 0.901, 1.213, 2.030
3.400, 1.408, 0.864, 1.188, 2.034
3.410, 1.46, 0.888, 1.227, 2.103
3.420, 1.368, 0.872, 1.182, 2.007
3.430, 1.337, 0.856, 1.166, 1.969
3.440, 1.457, 0.89, 1.2, 2.086
3.450, 1.43, 0.882, 1.231, 2.082
3.460, 1.47, 0.884, 1.232, 2.111
3.470, 1.503, 0.847, 1.248, 2.129
3.480, 1.45, 0.905, 1.157, 2.064
3.490, 1.427, 0.827, 1.244, 2.065
3.500, 1.407, 0.889, 1.212, 2.058
3.510, 1.432, 0.912, 1.225, 2.093
3.520, 1.445, 0.866, 1.194, 2.064
3.530, 1.376, 0.96, 1.189, 2.056
3.540, 1.429, 0.894, 1.226, 2.084
3.550, 1.417, 0.865, 1.24, 2.072
3.560, 1.364, 0.887, 1.211, 2.028
3.570, 1.531, 0.918, 1.264, 2.187
3.580, 1.458, 0.918, 1.25, 2.128
3.590, 1.491, 0.871, 1.223, 2.115
3.600, 1.519, 0.849, 1.294, 2.168
3.610, 1.387, 0.871, 1.31, 2.097
3.620, 1.433, 0.888, 1.258, 2.103
