Time, DR, DN, RN, Euclidian
1.940, 1.61, 0.789, 1.419, 2.286
1.950, 1.583, 0.811, 1.417, 2.274
1.960, 1.616, 0.796, 1.401, 2.282
1.970, 1.545, 0.781, 1.379, 2.213
1.980, 1.566, 0.795, 1.376, 2.231
1.990, 1.587, 0.788, 1.405, 2.261
2.000, 1.625, 0.759, 1.398, 2.274
2.010, 1.566, 0.818, 1.347, 2.221
2.020, 1.593, 0.781, 1.426, 2.276
2.030, 1.616, 0.841, 1.418, 2.308
2.040, 1.603, 0.795, 1.442, 2.298
2.050, 1.584, 0.753, 1.409, 2.249
2.060, 1.591, 0.782, 1.453, 2.292
2.070, 1.63, 0.802, 1.41, 2.299
2.080, 1.571, 0.796, 1.41, 2.256
2.090, 1.647, 0.808, 1.428, 2.324
2.100, 1.608, 0.81, 1.41, 2.286
2.110, 1.618, 0.801, 1.435, 2.306
2.120, 1.607, 0.764, 1.417, 2.274
2.130, 1.627, 0.814, 1.42, 2.307
2.140, 1.614, 0.841, 1.401, 2.296
2.150, 1.655, 0.82, 1.448, 2.346
2.160, 1.593, 0.763, 1.391, 2.248
2.170, 1.615, 0.79, 1.383, 2.268
2.180, 1.582, 0.786, 1.387, 2.245
2.190, 1.652, 0.8, 1.411, 2.315
2.200, 1.663, 0.802, 1.456, 2.351
2.210, 1.612, 0.774, 1.427, 2.287
2.220, 1.62, 0.769, 1.41, 2.281
2.230, 1.668, 0.835, 1.464, 2.371
2.240, 1.611, 0.819, 1.371, 2.268
2.250, 1.644, 0.794, 1.426, 2.316
2.260, 1.658, 0.787, 1.471, 2.352
2.270, 1.636, 0.793, 1.44, 2.319
2.280, 1.656, 0.808, 1.429, 2.331
2.290, 1.586, 0.808, 1.41, 2.270
2.300, 1.613, 0.789, 1.395, 2.273
2.310, 1.621, 0.799, 1.389, 2.279
2.320, 1.645, 0.817, 1.393, 2.305
2.330, 1.638, 0.793, 1.435, 2.317
2.340, 1.607, 0.809, 1.408, 2.284
2.350, 1.621, 0.802, 1.422, 2.300
2.360, 1.597, 0.791, 1.403, 2.268
2.370, 1.613, 0.806, 1.402, 2.284
2.380, 1.579, 0.807, 1.421, 2.272
2.390, 1.581, 0.801, 1.401, 2.259
2.400, 1.606, 0.779, 1.398, 2.267
2.410, 1.623, 0.799, 1.437, 2.310
2.420, 1.591, 0.777, 1.374, 2.241
2.430, 1.599, 0.829, 1.398, 2.280
2.440, 1.634, 0.785, 1.42, 2.302
2.450, 1.605, 0.823, 1.416, 2.293
2.460, 1.637, 0.797, 1.438, 2.320
2.470, 1.648, 0.811, 1.45, 2.340
2.480, 1.603, 0.822, 1.429, 2.299
