Time, DR, DN, RN, Euclidian
2540.000, 1.564, 0.806, 1.41, 2.254
2550.000, 1.555, 0.835, 1.4, 2.252
2560.000, 1.609, 0.818, 1.363, 2.261
2570.000, 1.637, 0.839, 1.361, 2.288
2580.000, 1.623, 0.836, 1.39, 2.294
2590.000, 1.667, 0.833, 1.404, 2.333
2600.000, 1.642, 0.841, 1.369, 2.297
2610.000, 1.658, 0.857, 1.399, 2.332
2620.000, 1.639, 0.85, 1.378, 2.303
2630.000, 1.584, 0.815, 1.367, 2.245
2640.000, 1.625, 0.802, 1.407, 2.294
2650.000, 1.546, 0.811, 1.328, 2.193
2660.000, 1.562, 0.772, 1.357, 2.208
2670.000, 1.581, 0.823, 1.387, 2.258
2680.000, 1.485, 0.842, 1.337, 2.168
2690.000, 1.553, 0.787, 1.362, 2.210
2700.000, 1.605, 0.821, 1.357, 2.256
2710.000, 1.539, 0.85, 1.366, 2.226
2720.000, 1.587, 0.823, 1.381, 2.258
2730.000, 1.552, 0.827, 1.344, 2.213
2740.000, 1.574, 0.834, 1.402, 2.266
2750.000, 1.591, 0.813, 1.364, 2.247
2760.000, 1.59, 0.824, 1.403, 2.274
2770.000, 1.603, 0.85, 1.36, 2.267
2780.000, 1.612, 0.829, 1.382, 2.279
2790.000, 1.648, 0.853, 1.364, 2.303
2800.000, 1.628, 0.836, 1.441, 2.329
2810.000, 1.576, 0.838, 1.375, 2.253
2820.000, 1.483, 0.822, 1.349, 2.166
2830.000, 1.502, 0.843, 1.382, 2.208
2840.000, 1.539, 0.834, 1.412, 2.248
2850.000, 1.579, 0.803, 1.396, 2.255
2860.000, 1.538, 0.815, 1.407, 2.238
2870.000, 1.517, 0.802, 1.383, 2.203
2880.000, 1.558, 0.816, 1.423, 2.262
2890.000, 1.566, 0.831, 1.37, 2.240
2900.000, 1.512, 0.817, 1.371, 2.198
2910.000, 1.529, 0.837, 1.362, 2.212
2920.000, 1.58, 0.811, 1.397, 2.259
2930.000, 1.587, 0.834, 1.39, 2.268
2940.000, 1.558, 0.843, 1.382, 2.246
2950.000, 1.533, 0.839, 1.362, 2.215
2960.000, 1.567, 0.837, 1.389, 2.255
2970.000, 1.542, 0.823, 1.38, 2.226
2980.000, 1.533, 0.824, 1.358, 2.207
2990.000, 1.566, 0.831, 1.397, 2.257
3000.000, 1.514, 0.846, 1.35, 2.197
3010.000, 1.554, 0.819, 1.379, 2.233
3020.000, 1.521, 0.814, 1.382, 2.210
3030.000, 1.514, 0.809, 1.361, 2.190
3040.000, 1.59, 0.84, 1.386, 2.270
3050.000, 1.522, 0.813, 1.39, 2.215
3060.000, 1.559, 0.849, 1.366, 2.239
3070.000, 1.503, 0.866, 1.33, 2.185
3080.000, 1.539, 0.822, 1.347, 2.204
3090.000, 1.536, 0.843, 1.402, 2.244
3100.000, 1.529, 0.869, 1.341, 2.211
3110.000, 1.597, 0.841, 1.41, 2.290
3120.000, 1.541, 0.804, 1.373, 2.215
3130.000, 1.547, 0.82, 1.371, 2.223
3140.000, 1.564, 0.824, 1.382, 2.243
3150.000, 1.551, 0.777, 1.378, 2.215
3160.000, 1.526, 0.795, 1.391, 2.212
3170.000, 1.512, 0.804, 1.368, 2.191
3180.000, 1.549, 0.797, 1.377, 2.220
3190.000, 1.536, 0.825, 1.392, 2.231
3200.000, 1.553, 0.815, 1.39, 2.237
3210.000, 1.55, 0.825, 1.362, 2.222
3220.000, 1.593, 0.822, 1.361, 2.250
3230.000, 1.554, 0.794, 1.388, 2.229
3240.000, 1.578, 0.815, 1.443, 2.288
3250.000, 1.579, 0.782, 1.405, 2.253
3260.000, 1.552, 0.832, 1.343, 2.214
3270.000, 1.564, 0.801, 1.363, 2.223
3280.000, 1.527, 0.795, 1.358, 2.192
3290.000, 1.534, 0.838, 1.366, 2.218
3300.000, 1.541, 0.823, 1.335, 2.198
3310.000, 1.547, 0.803, 1.366, 2.214
3320.000, 1.535, 0.804, 1.355, 2.199
3330.000, 1.56, 0.816, 1.417, 2.259
3340.000, 1.539, 0.803, 1.384, 2.220
3350.000, 1.583, 0.803, 1.349, 2.229
3360.000, 1.564, 0.786, 1.359, 2.216
3370.000, 1.575, 0.848, 1.37, 2.253
3380.000, 1.488, 0.777, 1.354, 2.156
3390.000, 1.506, 0.845, 1.368, 2.203
3400.000, 1.566, 0.817, 1.356, 2.226
3410.000, 1.5, 0.806, 1.386, 2.195
3420.000, 1.55, 0.791, 1.353, 2.204
3430.000, 1.597, 0.79, 1.405, 2.269
3440.000, 1.554, 0.755, 1.386, 2.214
3450.000, 1.559, 0.817, 1.436, 2.271
3460.000, 1.6, 0.766, 1.43, 2.278
3470.000, 1.58, 0.825, 1.398, 2.265
3480.000, 1.574, 0.803, 1.384, 2.244
3490.000, 1.592, 0.793, 1.411, 2.270
3500.000, 1.548, 0.785, 1.361, 2.205
3510.000, 1.611, 0.758, 1.428, 2.282
3520.000, 1.578, 0.832, 1.403, 2.269
3530.000, 1.652, 0.804, 1.381, 2.298
3540.000, 1.592, 0.806, 1.418, 2.279
3550.000, 1.591, 0.777, 1.436, 2.279
3560.000, 1.609, 0.821, 1.392, 2.280
3570.000, 1.592, 0.831, 1.447, 2.306
3580.000, 1.554, 0.768, 1.362, 2.204
3590.000, 1.556, 0.817, 1.403, 2.248
3600.000, 1.613, 0.839, 1.396, 2.292
3610.000, 1.581, 0.82, 1.465, 2.306
3620.000, 1.555, 0.833, 1.375, 2.236
3630.000, 1.566, 0.815, 1.381, 2.241
3640.000, 1.529, 0.796, 1.371, 2.202
3650.000, 1.554, 0.808, 1.372, 2.224
3660.000, 1.538, 0.843, 1.347, 2.211
3670.000, 1.553, 0.795, 1.38, 2.224
3680.000, 1.597, 0.797, 1.393, 2.264
3690.000, 1.571, 0.841, 1.396, 2.263
3700.000, 1.581, 0.825, 1.366, 2.246
3710.000, 1.565, 0.829, 1.378, 2.243
3720.000, 1.58, 0.788, 1.409, 2.258
3730.000, 1.533, 0.817, 1.387, 2.222
3740.000, 1.582, 0.828, 1.352, 2.239
3750.000, 1.55, 0.771, 1.375, 2.210
3760.000, 1.557, 0.797, 1.399, 2.239
3770.000, 1.572, 0.802, 1.4, 2.252
3780.000, 1.556, 0.792, 1.35, 2.207
3790.000, 1.609, 0.78, 1.389, 2.264
3800.000, 1.557, 0.819, 1.374, 2.232
3810.000, 1.588, 0.791, 1.387, 2.251
3820.000, 1.587, 0.843, 1.435, 2.299
3830.000, 1.602, 0.774, 1.385, 2.254
3840.000, 1.59, 0.836, 1.364, 2.255
3850.000, 1.576, 0.774, 1.362, 2.222
3860.000, 1.579, 0.815, 1.379, 2.249
3870.000, 1.574, 0.839, 1.38, 2.255
3880.000, 1.6, 0.795, 1.411, 2.276
3890.000, 1.574, 0.813, 1.376, 2.243
3900.000, 1.588, 0.818, 1.368, 2.249
3910.000, 1.559, 0.805, 1.384, 2.234
3920.000, 1.573, 0.771, 1.382, 2.231
3930.000, 1.601, 0.78, 1.396, 2.262
3940.000, 1.583, 0.802, 1.369, 2.241
3950.000, 1.63, 0.784, 1.403, 2.289
3960.000, 1.568, 0.817, 1.391, 2.249
3970.000, 1.533, 0.789, 1.35, 2.189
3980.000, 1.584, 0.806, 1.396, 2.259
3990.000, 1.584, 0.817, 1.36, 2.241
4000.000, 1.584, 0.797, 1.375, 2.243
4010.000, 1.576, 0.789, 1.41, 2.257
4020.000, 1.585, 0.789, 1.402, 2.258
4030.000, 1.616, 0.844, 1.395, 2.295
4040.000, 1.565, 0.807, 1.395, 2.246
4050.000, 1.621, 0.838, 1.418, 2.310
4060.000, 1.608, 0.83, 1.368, 2.268
4070.000, 1.602, 0.792, 1.394, 2.266
4080.000, 1.581, 0.806, 1.4, 2.260
4090.000, 1.599, 0.831, 1.384, 2.272
4100.000, 1.585, 0.78, 1.373, 2.237
4110.000, 1.614, 0.811, 1.37, 2.267
4120.000, 1.553, 0.799, 1.353, 2.209
4130.000, 1.572, 0.804, 1.348, 2.221
4140.000, 1.57, 0.794, 1.397, 2.246
4150.000, 1.559, 0.78, 1.402, 2.237
4160.000, 1.552, 0.838, 1.356, 2.224
4170.000, 1.583, 0.763, 1.406, 2.250
4180.000, 1.583, 0.808, 1.36, 2.237
4190.000, 1.573, 0.807, 1.39, 2.248
4200.000, 1.563, 0.805, 1.382, 2.236
4210.000, 1.524, 0.802, 1.378, 2.205
4220.000, 1.591, 0.809, 1.331, 2.226
4230.000, 1.526, 0.792, 1.357, 2.190
4240.000, 1.618, 0.84, 1.376, 2.284
4250.000, 1.575, 0.782, 1.399, 2.247
4260.000, 1.565, 0.779, 1.389, 2.232
4270.000, 1.614, 0.794, 1.418, 2.290
4280.000, 1.61, 0.798, 1.372, 2.260
4290.000, 1.616, 0.819, 1.389, 2.282
4300.000, 1.589, 0.814, 1.404, 2.271
4310.000, 1.611, 0.839, 1.373, 2.276
4320.000, 1.584, 0.808, 1.364, 2.241
4330.000, 1.551, 0.83, 1.346, 2.214
4340.000, 1.566, 0.842, 1.374, 2.247
4350.000, 1.632, 0.802, 1.395, 2.291
4360.000, 1.628, 0.756, 1.441, 2.301
4370.000, 1.619, 0.818, 1.369, 2.272
4380.000, 1.629, 0.769, 1.412, 2.288
4390.000, 1.595, 0.843, 1.407, 2.287
4400.000, 1.63, 0.78, 1.426, 2.301
4410.000, 1.627, 0.796, 1.376, 2.274
4420.000, 1.641, 0.822, 1.373, 2.292
4430.000, 1.605, 0.831, 1.399, 2.285
4440.000, 1.594, 0.821, 1.384, 2.265
4450.000, 1.603, 0.809, 1.412, 2.284
4460.000, 1.539, 0.849, 1.316, 2.195
4470.000, 1.592, 0.797, 1.348, 2.233
4480.000, 1.516, 0.838, 1.334, 2.186
4490.000, 1.525, 0.776, 1.384, 2.200
4500.000, 1.57, 0.813, 1.384, 2.245
4510.000, 1.537, 0.839, 1.312, 2.188
4520.000, 1.549, 0.823, 1.377, 2.229
4530.000, 1.501, 0.772, 1.347, 2.159
4540.000, 1.487, 0.814, 1.358, 2.172
4550.000, 1.551, 0.804, 1.439, 2.263
4560.000, 1.545, 0.807, 1.37, 2.217
4570.000, 1.493, 0.791, 1.399, 2.193
4580.000, 1.443, 0.802, 1.316, 2.111
4590.000, 1.473, 0.826, 1.354, 2.164
4600.000, 1.56, 0.791, 1.372, 2.222
4610.000, 1.572, 0.777, 1.378, 2.230
4620.000, 1.543, 0.772, 1.383, 2.211
4630.000, 1.516, 0.797, 1.382, 2.200
4640.000, 1.5, 0.803, 1.386, 2.194
4650.000, 1.553, 0.797, 1.408, 2.242
4660.000, 1.59, 0.789, 1.419, 2.272
4670.000, 1.488, 0.795, 1.363, 2.168
4680.000, 1.596, 0.815, 1.404, 2.276
4690.000, 1.531, 0.774, 1.352, 2.184
4700.000, 1.594, 0.826, 1.417, 2.287
4710.000, 1.516, 0.792, 1.366, 2.188
4720.000, 1.551, 0.756, 1.395, 2.218
4730.000, 1.552, 0.788, 1.361, 2.209
4740.000, 1.509, 0.734, 1.358, 2.158
4750.000, 1.514, 0.791, 1.354, 2.179
4760.000, 1.588, 0.799, 1.358, 2.237
4770.000, 1.531, 0.768, 1.385, 2.202
4780.000, 1.594, 0.786, 1.418, 2.273
4790.000, 1.543, 0.808, 1.371, 2.216
4800.000, 1.532, 0.796, 1.351, 2.192
4810.000, 1.501, 0.804, 1.324, 2.156
4820.000, 1.568, 0.823, 1.366, 2.236
4830.000, 1.492, 0.822, 1.312, 2.150
4840.000, 1.569, 0.785, 1.401, 2.245
4850.000, 1.537, 0.793, 1.357, 2.198
4860.000, 1.507, 0.834, 1.373, 2.202
4870.000, 1.539, 0.81, 1.418, 2.243
4880.000, 1.523, 0.816, 1.364, 2.201
4890.000, 1.521, 0.816, 1.322, 2.174
4900.000, 1.604, 0.825, 1.422, 2.296
4910.000, 1.517, 0.825, 1.384, 2.213
4920.000, 1.52, 0.81, 1.331, 2.176
4930.000, 1.511, 0.832, 1.331, 2.178
4940.000, 1.52, 0.812, 1.355, 2.192
4950.000, 1.531, 0.818, 1.365, 2.208
4960.000, 1.544, 0.808, 1.348, 2.203
4970.000, 1.495, 0.83, 1.322, 2.161
4980.000, 1.549, 0.792, 1.371, 2.215
4990.000, 1.493, 0.798, 1.354, 2.167
5000.000, 1.583, 0.798, 1.423, 2.273
5010.000, 1.504, 0.778, 1.354, 2.168
5020.000, 1.548, 0.827, 1.341, 2.208
5030.000, 1.553, 0.798, 1.393, 2.233
5040.000, 1.524, 0.809, 1.329, 2.177
