Time, DR, DN, RN, Euclidian
1.990, 1.453, 0.794, 1.318, 2.116
2.000, 1.48, 0.794, 1.293, 2.119
2.010, 1.489, 0.808, 1.296, 2.132
2.020, 1.475, 0.832, 1.309, 2.140
2.030, 1.474, 0.769, 1.253, 2.081
2.040, 1.454, 0.814, 1.249, 2.082
2.050, 1.486, 0.832, 1.276, 2.128
2.060, 1.488, 0.829, 1.273, 2.126
2.070, 1.45, 0.838, 1.234, 2.080
2.080, 1.463, 0.825, 1.243, 2.089
2.090, 1.486, 0.81, 1.287, 2.126
2.100, 1.475, 0.824, 1.3, 2.131
2.110, 1.497, 0.815, 1.321, 2.156
2.120, 1.515, 0.808, 1.297, 2.151
2.130, 1.464, 0.809, 1.243, 2.083
2.140, 1.421, 0.772, 1.242, 2.039
2.150, 1.468, 0.798, 1.281, 2.105
2.160, 1.464, 0.819, 1.306, 2.125
2.170, 1.466, 0.809, 1.33, 2.138
2.180, 1.487, 0.789, 1.308, 2.131
2.190, 1.47, 0.81, 1.285, 2.113
2.200, 1.433, 0.795, 1.239, 2.054
2.210, 1.443, 0.812, 1.284, 2.095
2.220, 1.373, 0.809, 1.223, 2.008
2.230, 1.432, 0.831, 1.252, 2.075
2.240, 1.445, 0.802, 1.291, 2.097
2.250, 1.475, 0.825, 1.303, 2.134
2.260, 1.507, 0.814, 1.28, 2.138
2.270, 1.386, 0.81, 1.235, 2.025
2.280, 1.484, 0.812, 1.298, 2.132
2.290, 1.448, 0.833, 1.292, 2.111
2.300, 1.494, 0.804, 1.323, 2.151
2.310, 1.429, 0.805, 1.262, 2.069
2.320, 1.451, 0.819, 1.316, 2.123
2.330, 1.409, 0.779, 1.269, 2.049
2.340, 1.439, 0.789, 1.277, 2.079
2.350, 1.452, 0.806, 1.316, 2.118
2.360, 1.42, 0.818, 1.259, 2.066
2.370, 1.405, 0.821, 1.274, 2.066
2.380, 1.429, 0.772, 1.208, 2.024
2.390, 1.406, 0.803, 1.206, 2.018
2.400, 1.502, 0.84, 1.303, 2.158
2.410, 1.509, 0.778, 1.335, 2.159
2.420, 1.513, 0.768, 1.337, 2.160
2.430, 1.548, 0.804, 1.354, 2.208
2.440, 1.507, 0.817, 1.369, 2.193
2.450, 1.521, 0.779, 1.314, 2.155
2.460, 1.514, 0.79, 1.347, 2.175
2.470, 1.55, 0.772, 1.35, 2.195
2.480, 1.492, 0.734, 1.31, 2.116
2.490, 1.523, 0.779, 1.334, 2.169
2.500, 1.505, 0.748, 1.305, 2.127
2.510, 1.561, 0.78, 1.359, 2.211
2.520, 1.534, 0.804, 1.312, 2.172
2.530, 1.553, 0.83, 1.27, 2.171
2.540, 1.551, 0.802, 1.335, 2.197
2.550, 1.525, 0.811, 1.299, 2.161
2.560, 1.562, 0.796, 1.296, 2.180
2.570, 1.5, 0.836, 1.305, 2.156
2.580, 1.547, 0.825, 1.322, 2.195
2.590, 1.556, 0.818, 1.328, 2.203
2.600, 1.614, 0.801, 1.347, 2.249
2.610, 1.552, 0.794, 1.319, 2.186
2.620, 1.534, 0.838, 1.36, 2.214
2.630, 1.485, 0.779, 1.292, 2.116
2.640, 1.509, 0.808, 1.305, 2.152
2.650, 1.531, 0.801, 1.333, 2.182
2.660, 1.516, 0.824, 1.312, 2.167
2.670, 1.587, 0.81, 1.355, 2.238
2.680, 1.627, 0.85, 1.36, 2.284
2.690, 1.625, 0.832, 1.334, 2.261
2.700, 1.622, 0.867, 1.326, 2.267
2.710, 1.595, 0.833, 1.324, 2.234
2.720, 1.613, 0.821, 1.326, 2.243
2.730, 1.644, 0.86, 1.347, 2.292
2.740, 1.642, 0.847, 1.345, 2.285
2.750, 1.59, 0.832, 1.314, 2.224
2.760, 1.614, 0.836, 1.329, 2.251
2.770, 1.6, 0.801, 1.35, 2.241
2.780, 1.626, 0.792, 1.379, 2.274
2.790, 1.553, 0.829, 1.329, 2.205
2.800, 1.617, 0.819, 1.31, 2.236
2.810, 1.576, 0.781, 1.321, 2.199
2.820, 1.573, 0.825, 1.323, 2.214
2.830, 1.535, 0.819, 1.27, 2.154
2.840, 1.489, 0.834, 1.258, 2.120
2.850, 1.496, 0.851, 1.266, 2.136
2.860, 1.553, 0.838, 1.342, 2.216
2.870, 1.58, 0.844, 1.288, 2.206
2.880, 1.563, 0.84, 1.332, 2.218
2.890, 1.605, 0.827, 1.346, 2.252
2.900, 1.654, 0.834, 1.384, 2.312
2.910, 1.587, 0.843, 1.316, 2.227
2.920, 1.586, 0.85, 1.358, 2.254
2.930, 1.549, 0.824, 1.335, 2.204
2.940, 1.56, 0.793, 1.361, 2.216
2.950, 1.505, 0.812, 1.342, 2.173
2.960, 1.548, 0.791, 1.368, 2.212
2.970, 1.55, 0.82, 1.386, 2.235
2.980, 1.587, 0.831, 1.402, 2.274
2.990, 1.525, 0.825, 1.325, 2.182
3.000, 1.571, 0.809, 1.327, 2.209
3.010, 1.545, 0.806, 1.31, 2.180
3.020, 1.512, 0.786, 1.301, 2.143
3.030, 1.563, 0.845, 1.369, 2.243
3.040, 1.488, 0.791, 1.319, 2.139
3.050, 1.506, 0.839, 1.367, 2.200
3.060, 1.48, 0.793, 1.313, 2.131
3.070, 1.533, 0.811, 1.336, 2.189
3.080, 1.542, 0.796, 1.351, 2.199
3.090, 1.539, 0.805, 1.333, 2.189
3.100, 1.518, 0.77, 1.331, 2.160
3.110, 1.501, 0.801, 1.335, 2.162
3.120, 1.5, 0.806, 1.324, 2.156
3.130, 1.525, 0.755, 1.371, 2.185
3.140, 1.511, 0.808, 1.285, 2.141
3.150, 1.481, 0.827, 1.295, 2.134
3.160, 1.475, 0.796, 1.302, 2.122
3.170, 1.437, 0.8, 1.265, 2.074
3.180, 1.443, 0.827, 1.287, 2.102
3.190, 1.476, 0.835, 1.278, 2.123
3.200, 1.478, 0.852, 1.198, 2.084
3.210, 1.549, 0.83, 1.292, 2.181
3.220, 1.469, 0.814, 1.276, 2.109
3.230, 1.495, 0.797, 1.314, 2.144
3.240, 1.471, 0.779, 1.324, 2.126
3.250, 1.445, 0.807, 1.281, 2.092
3.260, 1.452, 0.785, 1.256, 2.074
3.270, 1.42, 0.829, 1.257, 2.069
3.280, 1.409, 0.879, 1.27, 2.090
3.290, 1.399, 0.857, 1.201, 2.033
3.300, 1.451, 0.807, 1.273, 2.092
3.310, 1.475, 0.873, 1.207, 2.096
3.320, 1.443, 0.88, 1.224, 2.086
3.330, 1.493, 0.861, 1.25, 2.129
3.340, 1.436, 0.832, 1.225, 2.062
3.350, 1.43, 0.776, 1.267, 2.062
3.360, 1.473, 0.799, 1.279, 2.108
3.370, 1.471, 0.787, 1.302, 2.116
3.380, 1.444, 0.726, 1.281, 2.062
3.390, 1.472, 0.794, 1.257, 2.092
3.400, 1.483, 0.783, 1.268, 2.102
3.410, 1.423, 0.768, 1.259, 2.049
3.420, 1.484, 0.785, 1.291, 2.117
3.430, 1.553, 0.793, 1.305, 2.177
3.440, 1.517, 0.817, 1.317, 2.168
3.450, 1.471, 0.853, 1.296, 2.138
3.460, 1.5, 0.819, 1.295, 2.144
3.470, 1.527, 0.816, 1.358, 2.200
3.480, 1.558, 0.805, 1.319, 2.194
3.490, 1.548, 0.76, 1.317, 2.169
3.500, 1.528, 0.797, 1.363, 2.197
3.510, 1.517, 0.804, 1.322, 2.166
3.520, 1.588, 0.775, 1.383, 2.243
3.530, 1.482, 0.79, 1.319, 2.135
3.540, 1.598, 0.822, 1.333, 2.237
3.550, 1.606, 0.797, 1.37, 2.256
3.560, 1.548, 0.773, 1.317, 2.174
3.570, 1.544, 0.798, 1.328, 2.187
3.580, 1.533, 0.816, 1.304, 2.171
3.590, 1.584, 0.827, 1.333, 2.229
3.600, 1.57, 0.822, 1.332, 2.216
3.610, 1.547, 0.8, 1.314, 2.181
3.620, 1.571, 0.79, 1.336, 2.208
3.630, 1.566, 0.831, 1.326, 2.213
3.640, 1.581, 0.8, 1.32, 2.209
3.650, 1.567, 0.831, 1.321, 2.211
3.660, 1.562, 0.813, 1.316, 2.198
3.670, 1.538, 0.796, 1.279, 2.152
3.680, 1.569, 0.811, 1.32, 2.204
3.690, 1.553, 0.762, 1.324, 2.178
3.700, 1.595, 0.81, 1.351, 2.241
3.710, 1.53, 0.809, 1.344, 2.191
3.720, 1.562, 0.813, 1.358, 2.223
3.730, 1.553, 0.798, 1.354, 2.209
3.740, 1.542, 0.792, 1.31, 2.172
3.750, 1.597, 0.801, 1.337, 2.231
3.760, 1.568, 0.815, 1.351, 2.224
3.770, 1.587, 0.806, 1.301, 2.204
3.780, 1.523, 0.829, 1.316, 2.176
3.790, 1.553, 0.802, 1.291, 2.172
3.800, 1.568, 0.8, 1.314, 2.196
3.810, 1.573, 0.789, 1.361, 2.224
3.820, 1.567, 0.812, 1.354, 2.224
3.830, 1.56, 0.743, 1.381, 2.211
3.840, 1.609, 0.81, 1.393, 2.277
3.850, 1.615, 0.809, 1.36, 2.261
3.860, 1.574, 0.816, 1.38, 2.246
3.870, 1.566, 0.799, 1.333, 2.206
3.880, 1.519, 0.804, 1.312, 2.162
3.890, 1.603, 0.801, 1.334, 2.234
3.900, 1.623, 0.806, 1.39, 2.283
3.910, 1.592, 0.818, 1.369, 2.253
3.920, 1.579, 0.821, 1.337, 2.225
3.930, 1.642, 0.812, 1.342, 2.270
3.940, 1.644, 0.809, 1.353, 2.277
3.950, 1.632, 0.828, 1.315, 2.253
3.960, 1.619, 0.788, 1.383, 2.270
3.970, 1.554, 0.83, 1.291, 2.184
3.980, 1.552, 0.805, 1.34, 2.202
3.990, 1.617, 0.786, 1.374, 2.262
4.000, 1.622, 0.801, 1.362, 2.264
4.010, 1.619, 0.829, 1.334, 2.255
4.020, 1.572, 0.81, 1.359, 2.230
4.030, 1.551, 0.805, 1.326, 2.193
4.040, 1.567, 0.782, 1.393, 2.237
4.050, 1.621, 0.799, 1.406, 2.289
4.060, 1.487, 0.801, 1.301, 2.131
4.070, 1.504, 0.788, 1.328, 2.155
4.080, 1.484, 0.79, 1.348, 2.154
4.090, 1.514, 0.793, 1.361, 2.184
4.100, 1.503, 0.789, 1.323, 2.152
4.110, 1.513, 0.817, 1.336, 2.177
4.120, 1.494, 0.78, 1.305, 2.131
4.130, 1.504, 0.791, 1.326, 2.155
4.140, 1.494, 0.8, 1.303, 2.137
4.150, 1.484, 0.836, 1.315, 2.151
4.160, 1.462, 0.819, 1.333, 2.141
4.170, 1.459, 0.824, 1.274, 2.104
4.180, 1.421, 0.818, 1.295, 2.089
4.190, 1.469, 0.821, 1.295, 2.123
4.200, 1.467, 0.782, 1.317, 2.120
4.210, 1.439, 0.785, 1.289, 2.085
4.220, 1.475, 0.792, 1.344, 2.146
4.230, 1.475, 0.839, 1.351, 2.169
4.240, 1.477, 0.805, 1.32, 2.138
4.250, 1.48, 0.792, 1.31, 2.129
4.260, 1.481, 0.766, 1.309, 2.119
4.270, 1.507, 0.805, 1.314, 2.155
4.280, 1.486, 0.786, 1.299, 2.124
4.290, 1.462, 0.78, 1.333, 2.126
4.300, 1.453, 0.767, 1.309, 2.100
4.310, 1.435, 0.779, 1.298, 2.085
4.320, 1.476, 0.812, 1.323, 2.142
4.330, 1.423, 0.824, 1.286, 2.087
4.340, 1.493, 0.776, 1.31, 2.132
4.350, 1.445, 0.776, 1.296, 2.090
4.360, 1.446, 0.809, 1.324, 2.120
4.370, 1.426, 0.787, 1.3, 2.083
4.380, 1.433, 0.825, 1.267, 2.083
4.390, 1.432, 0.829, 1.288, 2.096
4.400, 1.438, 0.798, 1.293, 2.092
4.410, 1.479, 0.75, 1.348, 2.137
4.420, 1.511, 0.849, 1.316, 2.176
4.430, 1.456, 0.789, 1.27, 2.086
4.440, 1.467, 0.817, 1.307, 2.127
4.450, 1.441, 0.788, 1.31, 2.100
4.460, 1.435, 0.851, 1.28, 2.102
4.470, 1.45, 0.809, 1.288, 2.101
4.480, 1.474, 0.794, 1.302, 2.120
4.490, 1.516, 0.822, 1.334, 2.180
4.500, 1.459, 0.802, 1.286, 2.103
4.510, 1.465, 0.772, 1.26, 2.080
4.520, 1.457, 0.818, 1.321, 2.130
4.530, 1.466, 0.793, 1.329, 2.131
4.540, 1.532, 0.783, 1.387, 2.209
4.550, 1.461, 0.795, 1.321, 2.124
4.560, 1.484, 0.796, 1.344, 2.154
4.570, 1.483, 0.824, 1.329, 2.155
4.580, 1.524, 0.804, 1.36, 2.195
4.590, 1.567, 0.788, 1.362, 2.220
4.600, 1.544, 0.82, 1.318, 2.189
4.610, 1.474, 0.812, 1.309, 2.132
4.620, 1.52, 0.806, 1.282, 2.145
4.630, 1.528, 0.769, 1.309, 2.153
4.640, 1.509, 0.804, 1.354, 2.181
4.650, 1.457, 0.79, 1.284, 2.096
4.660, 1.504, 0.802, 1.39, 2.199
4.670, 1.53, 0.81, 1.342, 2.190
4.680, 1.484, 0.787, 1.276, 2.109
4.690, 1.452, 0.8, 1.282, 2.095
4.700, 1.481, 0.802, 1.315, 2.136
4.710, 1.456, 0.786, 1.316, 2.114
4.720, 1.443, 0.818, 1.33, 2.126
4.730, 1.501, 0.794, 1.32, 2.150
4.740, 1.478, 0.782, 1.302, 2.119
4.750, 1.485, 0.777, 1.332, 2.140
4.760, 1.521, 0.782, 1.336, 2.170
4.770, 1.496, 0.782, 1.301, 2.131
4.780, 1.467, 0.787, 1.281, 2.100
4.790, 1.427, 0.792, 1.26, 2.061
4.800, 1.468, 0.815, 1.272, 2.106
4.810, 1.43, 0.799, 1.26, 2.066
4.820, 1.425, 0.783, 1.279, 2.068
4.830, 1.436, 0.794, 1.31, 2.099
4.840, 1.451, 0.783, 1.278, 2.086
4.850, 1.51, 0.784, 1.346, 2.169
4.860, 1.532, 0.803, 1.345, 2.191
4.870, 1.511, 0.796, 1.345, 2.173
4.880, 1.42, 0.801, 1.28, 2.072
4.890, 1.482, 0.78, 1.288, 2.112
4.900, 1.495, 0.799, 1.265, 2.115
4.910, 1.442, 0.817, 1.282, 2.095
4.920, 1.465, 0.861, 1.247, 2.107
4.930, 1.511, 0.831, 1.321, 2.172
4.940, 1.503, 0.819, 1.29, 2.143
4.950, 1.522, 0.85, 1.31, 2.180
4.960, 1.505, 0.828, 1.304, 2.156
4.970, 1.49, 0.838, 1.293, 2.143
4.980, 1.463, 0.792, 1.316, 2.121
4.990, 1.511, 0.801, 1.284, 2.138
5.000, 1.466, 0.804, 1.262, 2.094
5.010, 1.435, 0.811, 1.299, 2.098
5.020, 1.476, 0.785, 1.294, 2.114
5.030, 1.464, 0.8, 1.319, 2.126
5.040, 1.395, 0.822, 1.254, 2.047
5.050, 1.421, 0.819, 1.247, 2.060
5.060, 1.395, 0.822, 1.234, 2.035
5.070, 1.408, 0.825, 1.241, 2.050
5.080, 1.454, 0.823, 1.29, 2.110
5.090, 1.44, 0.82, 1.319, 2.117
5.100, 1.481, 0.806, 1.324, 2.143
5.110, 1.395, 0.81, 1.271, 2.053
5.120, 1.442, 0.826, 1.331, 2.129
5.130, 1.452, 0.796, 1.273, 2.088
5.140, 1.494, 0.804, 1.344, 2.164
5.150, 1.464, 0.823, 1.287, 2.115
5.160, 1.464, 0.818, 1.337, 2.144
5.170, 1.442, 0.838, 1.301, 2.115
5.180, 1.461, 0.846, 1.286, 2.122
5.190, 1.512, 0.82, 1.323, 2.169
5.200, 1.475, 0.835, 1.288, 2.128
5.210, 1.448, 0.85, 1.268, 2.104
5.220, 1.451, 0.835, 1.26, 2.095
5.230, 1.42, 0.828, 1.251, 2.065
5.240, 1.501, 0.842, 1.351, 2.187
5.250, 1.469, 0.864, 1.323, 2.157
