Time, DR, DN, RN, Euclidian
2060.000, 1.556, 0.855, 1.651, 2.424
2070.000, 1.539, 0.849, 1.632, 2.398
2080.000, 1.641, 0.846, 1.695, 2.506
2090.000, 1.602, 0.826, 1.649, 2.442
2100.000, 1.636, 0.828, 1.724, 2.516
2110.000, 1.568, 0.845, 1.681, 2.449
2120.000, 1.57, 0.816, 1.649, 2.418
2130.000, 1.612, 0.834, 1.683, 2.475
2140.000, 1.558, 0.867, 1.618, 2.407
2150.000, 1.58, 0.857, 1.674, 2.456
2160.000, 1.549, 0.87, 1.689, 2.451
2170.000, 1.555, 0.827, 1.621, 2.393
2180.000, 1.56, 0.843, 1.597, 2.386
2190.000, 1.551, 0.854, 1.643, 2.415
2200.000, 1.55, 0.875, 1.641, 2.420
2210.000, 1.614, 0.858, 1.655, 2.465
2220.000, 1.578, 0.872, 1.645, 2.440
2230.000, 1.574, 0.809, 1.676, 2.437
2240.000, 1.563, 0.862, 1.659, 2.436
2250.000, 1.54, 0.888, 1.662, 2.433
2260.000, 1.581, 0.823, 1.675, 2.445
2270.000, 1.62, 0.859, 1.679, 2.486
2280.000, 1.543, 0.854, 1.634, 2.404
2290.000, 1.55, 0.827, 1.695, 2.441
2300.000, 1.583, 0.851, 1.642, 2.434
2310.000, 1.574, 0.809, 1.697, 2.451
2320.000, 1.582, 0.764, 1.676, 2.428
2330.000, 1.553, 0.867, 1.623, 2.407
2340.000, 1.585, 0.839, 1.696, 2.468
2350.000, 1.532, 0.834, 1.609, 2.373
2360.000, 1.535, 0.829, 1.623, 2.382
2370.000, 1.614, 0.854, 1.675, 2.477
2380.000, 1.574, 0.865, 1.633, 2.427
2390.000, 1.56, 0.84, 1.652, 2.422
2400.000, 1.559, 0.831, 1.662, 2.425
2410.000, 1.536, 0.88, 1.644, 2.415
2420.000, 1.599, 0.865, 1.634, 2.444
2430.000, 1.551, 0.814, 1.64, 2.399
2440.000, 1.548, 0.854, 1.625, 2.401
2450.000, 1.584, 0.828, 1.621, 2.412
2460.000, 1.573, 0.863, 1.626, 2.421
2470.000, 1.576, 0.835, 1.674, 2.446
2480.000, 1.603, 0.864, 1.67, 2.470
2490.000, 1.625, 0.855, 1.711, 2.509
2500.000, 1.575, 0.843, 1.657, 2.436
2510.000, 1.594, 0.836, 1.696, 2.473
2520.000, 1.493, 0.822, 1.61, 2.344
2530.000, 1.553, 0.831, 1.649, 2.412
2540.000, 1.515, 0.851, 1.711, 2.438
2550.000, 1.569, 0.856, 1.665, 2.442
2560.000, 1.535, 0.809, 1.641, 2.388
2570.000, 1.586, 0.849, 1.653, 2.443
2580.000, 1.552, 0.786, 1.712, 2.440
2590.000, 1.575, 0.817, 1.649, 2.422
2600.000, 1.583, 0.873, 1.642, 2.442
2610.000, 1.617, 0.827, 1.705, 2.491
2620.000, 1.532, 0.833, 1.629, 2.386
2630.000, 1.542, 0.872, 1.634, 2.410
2640.000, 1.55, 0.822, 1.67, 2.422
2650.000, 1.556, 0.829, 1.63, 2.401
2660.000, 1.581, 0.836, 1.691, 2.461
2670.000, 1.624, 0.823, 1.76, 2.532
2680.000, 1.588, 0.823, 1.708, 2.473
2690.000, 1.546, 0.862, 1.622, 2.400
2700.000, 1.565, 0.852, 1.673, 2.444
2710.000, 1.547, 0.807, 1.655, 2.404
2720.000, 1.591, 0.83, 1.673, 2.453
2730.000, 1.583, 0.843, 1.661, 2.444
2740.000, 1.581, 0.857, 1.666, 2.451
2750.000, 1.571, 0.863, 1.656, 2.440
2760.000, 1.583, 0.873, 1.689, 2.474
2770.000, 1.611, 0.825, 1.716, 2.494
2780.000, 1.604, 0.852, 1.728, 2.506
2790.000, 1.599, 0.856, 1.704, 2.488
2800.000, 1.636, 0.845, 1.707, 2.510
