Time, DR, DN, RN, Euclidian
2.430, 1.542, 0.824, 1.22, 2.131
2.440, 1.541, 0.78, 1.254, 2.134
2.450, 1.571, 0.834, 1.288, 2.196
2.460, 1.494, 0.807, 1.215, 2.087
2.470, 1.55, 0.852, 1.184, 2.128
2.480, 1.492, 0.836, 1.15, 2.060
2.490, 1.568, 0.855, 1.192, 2.147
2.500, 1.535, 0.817, 1.197, 2.111
2.510, 1.544, 0.814, 1.269, 2.157
2.520, 1.539, 0.887, 1.27, 2.183
2.530, 1.565, 0.84, 1.258, 2.176
2.540, 1.63, 0.87, 1.297, 2.257
2.550, 1.555, 0.826, 1.249, 2.158
2.560, 1.6, 0.884, 1.226, 2.201
2.570, 1.59, 0.828, 1.218, 2.167
2.580, 1.544, 0.8, 1.254, 2.143
2.590, 1.54, 0.849, 1.243, 2.153
2.600, 1.599, 0.843, 1.238, 2.190
2.610, 1.596, 0.874, 1.201, 2.180
2.620, 1.572, 0.862, 1.209, 2.162
2.630, 1.53, 0.828, 1.144, 2.082
2.640, 1.576, 0.84, 1.209, 2.156
2.650, 1.553, 0.807, 1.194, 2.118
2.660, 1.541, 0.813, 1.191, 2.110
2.670, 1.545, 0.773, 1.216, 2.112
2.680, 1.58, 0.825, 1.226, 2.163
2.690, 1.57, 0.802, 1.211, 2.138
2.700, 1.538, 0.849, 1.216, 2.136
2.710, 1.563, 0.828, 1.21, 2.143
2.720, 1.52, 0.855, 1.206, 2.120
2.730, 1.536, 0.801, 1.196, 2.105
2.740, 1.527, 0.84, 1.221, 2.127
2.750, 1.546, 0.804, 1.249, 2.143
2.760, 1.55, 0.866, 1.211, 2.149
2.770, 1.566, 0.85, 1.238, 2.169
2.780, 1.555, 0.821, 1.261, 2.163
2.790, 1.568, 0.836, 1.278, 2.188
2.800, 1.61, 0.824, 1.244, 2.195
2.810, 1.571, 0.843, 1.231, 2.166
2.820, 1.534, 0.85, 1.246, 2.151
2.830, 1.58, 0.85, 1.231, 2.175
2.840, 1.543, 0.879, 1.219, 2.153
2.850, 1.582, 0.848, 1.232, 2.177
2.860, 1.552, 0.826, 1.147, 2.099
2.870, 1.568, 0.853, 1.205, 2.153
2.880, 1.539, 0.854, 1.154, 2.104
2.890, 1.556, 0.84, 1.237, 2.157
2.900, 1.62, 0.859, 1.254, 2.221
2.910, 1.541, 0.84, 1.258, 2.159
2.920, 1.495, 0.83, 1.195, 2.086
2.930, 1.615, 0.839, 1.271, 2.219
2.940, 1.552, 0.87, 1.242, 2.169
2.950, 1.561, 0.85, 1.234, 2.163
2.960, 1.638, 0.87, 1.272, 2.248
2.970, 1.555, 0.827, 1.247, 2.157
2.980, 1.551, 0.821, 1.261, 2.160
2.990, 1.542, 0.824, 1.208, 2.125
3.000, 1.533, 0.821, 1.244, 2.138
3.010, 1.596, 0.838, 1.196, 2.163
3.020, 1.573, 0.83, 1.239, 2.167
3.030, 1.577, 0.824, 1.288, 2.196
3.040, 1.553, 0.795, 1.23, 2.134
3.050, 1.546, 0.83, 1.215, 2.134
3.060, 1.565, 0.831, 1.202, 2.141
3.070, 1.575, 0.81, 1.231, 2.156
3.080, 1.519, 0.852, 1.233, 2.133
3.090, 1.535, 0.824, 1.262, 2.151
3.100, 1.57, 0.842, 1.301, 2.206
3.110, 1.536, 0.84, 1.257, 2.155
3.120, 1.57, 0.849, 1.233, 2.169
3.130, 1.589, 0.856, 1.266, 2.204
3.140, 1.57, 0.834, 1.253, 2.174
3.150, 1.562, 0.826, 1.23, 2.152
3.160, 1.556, 0.838, 1.191, 2.131
3.170, 1.576, 0.842, 1.206, 2.155
3.180, 1.502, 0.844, 1.129, 2.059
